OBJECTID,rgn_typ,rgn_id,rgn_nam,rgn_key,are_km2,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index_,LE,LIV,LSP,MAR,NP,SP,SPP,TR,trnd_sc,Shape__Area,Shape__Length
164,eez,45,Eritrea,ERI,78827.41485,56.72,89.96,95.85,84.56,54.6,6.69,42.61,42.61,94.74,55.2,50.64,3.43,0.16,0,0,0,27.6,85.17,51.07,-3.05,86619022472,2099289.105
165,eez,46,Djibouti,DJI,7031.124948,52.81,92.13,97.56,90.73,49.9,99.7,41.58,41.58,97.43,67.79,67.42,96.55,93.4,0,0,0,33.89,86.84,51.66,-0.34,7815714135,545183.6816
166,eez,47,Yemen,YEM,548013.9421,56.92,88.59,94.68,82.21,54.1,95.31,51.96,51.96,95.3,56.56,62.17,97.66,100,0.04,0,67.32,28.3,81.89,0,0.84,5.73E+11,5777447.738
167,eez,48,Oman,OMN,538980.2145,87.71,90.95,99.23,90.93,70.47,100,54.83,54.82,97.48,55.76,74.12,100,100,16.43,0.24,73.74,36.09,84.43,37.28,0.69,6.05E+11,5112356.617
168,eez,49,Sudan,SDN,66785.641,51.91,86.08,87.02,82.86,44.57,97.57,36.28,36.28,90.68,56.32,55.63,72.55,47.53,0,0,64.88,28.16,81.48,1.95,-0.02,76475804732,1386314.513
169,eez,5,New Caledonia,NCL,1371802.951,66.01,88.15,76.63,78.73,79.31,92.61,75.74,65.74,87.99,67.15,82.22,96.3,100,81.52,11.6,99.98,74.34,88.32,97.02,-0.05,1.59E+12,7022531.582
170,eez,50,Saudi Arabia,SAU,220338.2253,98.96,91.05,94.02,89.6,64.49,100,36,35.86,94.95,54.85,67.21,100,100,42.76,0.75,0,48.8,87.15,49.32,-1.39,2.57E+11,5952818.515
171,eez,51,Kuwait,KWT,11895.80738,100,89.83,88.17,86.81,63.18,100,32.16,32.16,94.59,54.78,71.06,100,100,61.98,0,0,58.38,85.06,21.05,-0.03,16129118786,767877.6649
172,eez,52,Bahrain,BHR,7632.780208,94.33,82.93,84.5,85.78,63.45,76.96,34.56,34.56,81.81,48.17,58.76,82.41,87.87,0,0.01,0.03,24.08,84.04,35.51,0.31,10539291666,598982.4044
173,eez,53,Pakistan,PAK,222743.9623,61.12,73.96,45.17,45,43.05,100,48.99,48.98,68.38,62.48,51.32,84.51,69.01,51.37,0.02,50.74,56.93,79.54,3.7,0.01,2.66E+11,2520114.051
174,eez,54,United Arab Emirates,ARE,54711.03493,100,93.23,93.36,91.93,72.27,100,49.57,49.25,98,56.64,75.36,100,100,79.59,0.58,26.13,68.11,88.47,59.28,-0.21,65682933478,1730398.825
175,eez,55,Azores,PRT,957293.5608,85.49,83.79,0,0,68.31,100,55.39,55.39,92.83,64.12,76.62,85.89,71.78,66.98,0,0,65.55,74.75,91.9,0.56,1.55E+12,5106963.109
176,eez,56,Cape Verde,CPV,801065.1301,51.58,89.85,0,0,59.85,100,45.59,45.59,100,69.05,68.89,100,100,1.64,0,0,35.35,79.71,100,0.1,8.58E+11,3989618.482
177,eez,57,Madeira,PRT,455144.4809,86.22,87,0,0,71.09,94.88,61.65,61.65,95.07,64.22,80.48,83.38,71.87,100,0,0,82.11,78.93,91.9,0.53,6.46E+11,3198209.484
178,eez,58,Canary Islands,ESP,450010.1233,85.47,73.85,54.01,54.06,62.12,49.44,44.21,44.21,68.02,63.76,67.56,60.59,71.73,100,0,0,81.88,79.68,91.89,-0.17,5.78E+11,4816359.507
179,eez,59,Belgium,BEL,3465.168657,96.44,92.12,100,100,31.18,100,61.37,61.37,98.88,67.84,70.9,81.6,63.2,100,0,33.92,83.92,85.35,28.42,-0.22,8538514778,385134.2987
180,eez,6,Vanuatu,VUT,622073.3036,46.63,89.53,94.08,87.5,64.71,100,33.7,33.68,95.04,58.92,70.1,100,100,1.07,0.08,54.98,29.99,84.01,99.85,0.81,6.83E+11,4725926.451
181,eez,60,Gibraltar,GIB,426.7430178,84.61,73.06,0,0,16.14,51.31,59.51,59.51,72.82,60,69.49,75.66,100,100,0,0,80,73.3,97.43,0.21,518953618.4,123675.5026
182,eez,61,Tunisia,TUN,100660.4766,74.04,86.62,0,0,50.05,100,44.01,40.98,100,68.54,59.44,83.47,66.95,37.49,5.12,40.88,53.02,73.24,46.42,-0.23,1.54E+11,3065524.74
183,eez,62,Morocco,MAR,276136.4202,65.29,87.75,0,100,52.84,100,63.19,63.17,98.01,69.12,72.31,100,100,60.16,0.18,52.19,64.64,77.49,64.93,-0.34,3.91E+11,4480849.713
184,eez,63,Western Sahara,ESH,252024.2822,55.26,88.67,0,0,72.56,100,44.33,44.33,100,70.52,63.98,97.21,94.42,54.28,0,0,62.4,77.35,27.45,-0.38,3.03E+11,2801942.437
185,eez,64,Mauritania,MRT,156197.8834,53.32,80.77,0,0,59.73,90.91,51.15,51.15,83.12,66.93,61.92,93.66,96.41,100,0,69.26,83.46,78.43,4,1.08,1.72E+11,1894851.632
186,eez,65,Gambia,GMB,22745.51915,58.01,82.13,82.08,81.91,48.03,100,64.81,64.8,84.88,76.35,68.86,100,100,36.9,0.07,0,56.62,79.39,46.17,-0.03,23936808993,1163444.179
187,eez,66,Senegal,SEN,158426.4063,53.31,70.91,30.38,33.57,45.11,99.76,64.71,64.59,62.34,71.13,58.7,99.88,100,99.21,0.51,78.11,85.17,79.49,25.96,0.47,1.67E+11,2763152.274
188,eez,67,Libya,LBY,357895.3735,60.11,81.55,0,0,57.05,97.4,42.55,42.55,100,63.26,42.41,66.41,35.43,0,0,0,31.63,63.09,0,0.05,5.09E+11,4139515.71
189,eez,68,Malta,MLT,55696.6131,93.77,81.8,88.14,88.23,45.98,100,38.61,38.16,95.61,53.46,70.75,88.6,77.21,100,37.18,6.07,76.73,67.98,100,0.07,82287232372,1395418.86
190,eez,69,Latvia,LVA,28879.56165,85.6,77.44,51.84,54.41,53.95,100,83.29,83.29,73.4,95.45,72.9,90.8,81.59,100,0,89.88,97.73,81.49,44.06,1.65,96250217414,2099234.296
191,eez,7,Solomon Islands,SLB,1609756.608,45.34,84.03,79.54,72.99,72.47,100,43.54,43.54,83.87,61.15,65.45,100,100,9.16,0,74.06,35.15,84.19,47.38,1.28,1.66E+12,9014599.208
192,eez,70,Estonia,EST,36346.38091,92.27,89.51,100,100,72.08,100,86.8,86.8,94.79,95,75.92,75.6,51.2,100,0,0.92,97.5,84.23,44.47,-1.4,1.37E+11,3728522.988
193,eez,71,Bulgaria,BGR,35171.85484,78.4,92.21,0,0,41.91,100,56.5,51.85,100,62.39,60.86,71.7,43.4,100,26.19,40.73,81.2,84.43,28.85,0.14,64848811646,1172662.576
194,eez,72,Romania,ROU,29726.44905,84.02,91.33,0,0,56.05,100,56.5,56.21,100,63.37,61.57,90.14,80.28,100,0.3,9.36,81.68,82.66,23.79,0.37,60286481649,1224988.421
195,eez,73,Russia,RUS,7613131.627,85.21,91.78,85.67,100,80.95,100,38.95,39,100,76.43,74.27,93.11,86.22,92.16,72.02,80.36,84.3,83.57,2.36,0.68,1.02E+14,227659230.9
196,eez-inland,73,Russia,RUS,60169.39156,85.21,91.78,85.67,100,80.95,100,38.95,39,100,76.43,74.27,93.11,86.22,92.16,72.02,80.36,84.3,83.57,2.36,0.68,1.16E+11,1991771.998
197,eez,74,Georgia,GEO,22907.0423,74.84,89.75,0,0,53.61,100,56.74,56.74,100,62.53,72.26,99.53,99.06,22.3,0,77.8,42.42,79.5,83.41,2.33,41325720946,897055.4796
198,eez,75,Ukraine,UKR,134873.1575,65.18,86.3,84.79,84.79,58.83,100,54.51,54.51,94.28,61.6,60.32,80.81,61.62,51.32,0.73,21.16,56.46,78.32,10.36,-1.46,2.69E+11,5551716.047
199,eez,76,Turkey,TUR,255925.8827,85.29,88.14,0,0,49.98,100,52.88,46.39,98.51,60.76,56.23,100,100,6.6,14.25,43.31,33.68,77.77,3.02,-0.72,4.35E+11,10001733
200,eez,77,Syria,SYR,10203.61122,83.9,82.66,0,0,38.33,100,46.52,46.52,98.18,56.62,48.41,100,100,0,0,7.58,28.31,67.15,0,-1.84,15615435012,551817.6486
201,eez,78,Lebanon,LBN,19315.84413,68.79,82.87,0,0,30.05,100,41.58,41.58,98.42,57.14,46.25,83.13,66.26,4.21,0,16.45,30.68,67.31,16.47,-0.7,27939452275,727936.1051
202,eez,79,Israel,ISR,27855.05478,93.44,83.37,91.23,91.23,32.9,100,50.71,43.12,95.61,62.16,59.54,100,100,9.27,0.85,6.45,35.72,71.13,17.91,-0.69,38572953551,782720.3232
203,eez,8,Palau,PLW,608166.959,59.93,84.84,91.71,64.55,75.01,100,60.54,60.42,87.93,62.08,64,83.22,66.44,28.2,1.64,0.07,45.14,81.75,75.14,-0.96,6.15E+11,3188013.616
204,eez,80,Greece,GRC,494172.4497,83.39,86.58,0,0,61.27,66.24,52.86,43.88,100,67.76,66.73,64.35,62.45,98.41,29.25,11.27,83.08,73.17,100,-1.17,7.71E+11,11453212.73
205,eez,81,Cyprus,CYP,98279.50471,93.33,84.3,0,0,53.2,69.12,53.69,36.34,100,58.24,55.62,66.89,64.67,23.34,14.43,0.6,40.79,68.59,69.52,-0.04,1.45E+11,2314223.929
206,eez,82,Albania,ALB,11199.39181,75.53,86.73,0,0,57.28,100,46.17,43.73,100,62.61,61.88,100,100,70.66,2.59,3.17,66.63,73.47,61.95,0.33,20389985806,896436.641
207,eez,84,Algeria,DZA,128992.9923,75.44,79.91,0,0,40.47,100,61.23,61.05,96.79,62.16,51.17,100,100,6.23,0.09,0,34.19,63.03,18.32,-0.18,2.06E+11,2900958.661
208,eez,85,Ascension,ASC,444512.2526,97.04,88.46,0,0,87.93,89.7,48.31,48.31,95.54,61.84,70.84,87.73,85.75,27.94,0,0,44.89,81.38,41.52,0.58,4.48E+11,2382938.683
209,eez,86,Saint Helena,SHN,447451.2227,97.04,89.32,0,0,93.56,25.57,42.15,42.15,94.69,61.98,62.71,44.02,62.48,0,0,0,30.99,83.96,41.89,0.08,4.79E+11,2464056.097
210,eez,88,Tristan da Cunha,TAA,755781.9018,97.04,87.03,0,0,89.26,90.04,36.17,36.17,97.19,62.2,67.17,87.9,85.75,0,0,0,31.1,76.87,41.66,0.37,1.23E+12,4178399.539
211,eez,89,South Georgia and the South Sandwich Islands,SGS,1445884.278,90.29,94.55,0,0,98.89,0,49.69,49.69,100,71.79,83.86,0,0,100,0,0,85.9,89.1,0,0.22,4.64E+12,9980461.186
212,eez,9,Micronesia,FSM,3011912.452,47.36,87.67,97.61,92.81,57.62,48.88,54.48,54.48,97.45,56.54,62.76,62.89,76.91,3.31,0,28.21,29.93,77.9,69.01,-0.33,3.05E+12,9007428.294
213,eez,90,Prince Edward Islands,ZAF,473182.389,82.79,91.39,0,0,84.71,0,46.8,46.8,100,50.58,76.2,0,0,100,0,0,75.29,82.77,0,0.51,1.00E+12,3646532.229
214,eez,91,Crozet Islands,ATF,574392.107,90.01,86.15,0,0,96.69,0,39.38,39.38,0,51.34,77.58,0,0,100,0,0,75.67,86.15,0,0.24,1.20E+12,4024524.563
215,eez,92,Amsterdam Island and Saint Paul Island,ATF,509821.9371,89.77,89.4,0,0,90.84,0,32.9,32.9,100,51.06,75.69,0,0,100,0,0,75.53,78.8,0,-1.73,8.21E+11,3232928.304
216,eez,93,Kerguelen Islands,ATF,567172.3566,89.95,93.84,0,0,98.78,0,91.4,91.4,100,51.38,89.93,0,0,100,0,0,75.69,87.69,0,0.52,1.31E+12,5698198.833
217,eez,94,Heard and McDonald Islands,HMD,416111.0094,90.73,95.3,0,0,99.71,0,93.25,93.25,100,44.69,90.27,0,0,100,0,0,72.35,90.6,0,0.25,1.17E+12,4146379.136
218,eez,95,Falkland Islands,FLK,549091.665,97.04,93.44,0,0,98.96,17.85,76.3,76.3,100,71.86,71.78,40.63,63.41,2.78,0,0,37.32,86.88,58.75,-0.04,1.43E+12,6944575.29
219,eez,96,Sierra Leone,SLE,160452.574,57.66,66.74,31.55,32.61,42.05,97.96,78.03,78.03,55.94,63.22,47.53,75.91,53.86,1.54,0,0,32.38,77.53,10.88,0.36,1.65E+11,2014262.514
220,eez,97,Liberia,LBR,247767.679,42.66,73.13,34.56,34.5,48.38,100,53.47,53.47,68.57,66.65,52.86,100,100,41.2,0,0,53.93,77.7,35.09,0.7,2.47E+11,2059416.61
221,eez,98,Togo,TGO,15521.31015,43.07,78.65,99.33,99.13,15.08,100,47.86,47.86,82.07,69.45,59.84,100,100,0,0,0,34.73,75.23,20.74,-0.08,15902188880,828337.7571
222,eez,99,Benin,BEN,30419.26863,44.29,80.74,99.92,99.8,16.67,100,44.22,44.22,84.58,68.58,55.23,66.9,33.79,0,0,0,34.29,76.89,10.23,0.02,30831857560,899824.717
